"","HarvestDate","Cover","Crop","WaterTreat","NitroTreat","Block","radn","RadInt","RadIntSum"
"74",2012-11-08,0,"Maize","Irrigated","High N","3",24.1,0,0
"75",2012-11-08,0,"Maize","Dryland","High N","2",24.1,0,0
"76",2012-11-08,0,"Maize","Dryland","Median N","1",24.1,0,0
"77",2012-11-08,0,"Maize","Dryland","Median N","3",24.1,0,0
"78",2012-11-08,0,"Maize","Dryland","Median N","4",24.1,0,0
"79",2012-11-08,0,"Maize","Irrigated","Median N","3",24.1,0,0
"80",2012-11-08,0,"Maize","Irrigated","Low N","1",24.1,0,0
"81",2012-11-08,0,"Maize","Irrigated","High N","1",24.1,0,0
"82",2012-11-08,0,"Maize","Irrigated","Median N","4",24.1,0,0
"83",2012-11-08,0,"Maize","Irrigated","High N","4",24.1,0,0
"84",2012-11-08,0,"Maize","Dryland","High N","3",24.1,0,0
"85",2012-11-08,0,"Maize","Dryland","Low N","1",24.1,0,0
"86",2012-11-08,0,"Maize","Dryland","Median N","2",24.1,0,0
"87",2012-11-08,0,"Maize","Dryland","Low N","4",24.1,0,0
"88",2012-11-08,0,"Maize","Irrigated","Low N","4",24.1,0,0
"89",2012-11-08,0,"Maize","Dryland","High N","1",24.1,0,0
"90",2012-11-08,0,"Maize","Irrigated","Low N","3",24.1,0,0
"91",2012-11-08,0,"Maize","Dryland","High N","4",24.1,0,0
"92",2012-11-08,0,"Maize","Irrigated","High N","2",24.1,0,0
"93",2012-11-08,0,"Maize","Dryland","Low N","2",24.1,0,0
"94",2012-11-08,0,"Maize","Irrigated","Median N","2",24.1,0,0
"95",2012-11-08,0,"Maize","Irrigated","Low N","2",24.1,0,0
"96",2012-11-08,0,"Maize","Dryland","Low N","3",24.1,0,0
"97",2012-11-09,0,"Maize","Irrigated","Low N","4",30.8,0,0
"98",2012-11-09,0,"Maize","Irrigated","High N","3",30.8,0,0
"99",2012-11-09,0,"Maize","Irrigated","High N","1",30.8,0,0
"100",2012-11-09,0,"Maize","Irrigated","Median N","1",30.8,0,0
"101",2012-11-09,0,"Maize","Irrigated","High N","2",30.8,0,0
"102",2012-11-09,0,"Maize","Dryland","High N","2",30.8,0,0
"103",2012-11-09,0,"Maize","Irrigated","Median N","3",30.8,0,0
"104",2012-11-09,0,"Maize","Dryland","Median N","2",30.8,0,0
"105",2012-11-09,0,"Maize","Dryland","Low N","4",30.8,0,0
"106",2012-11-09,0,"Maize","Dryland","Median N","4",30.8,0,0
"107",2012-11-09,0,"Maize","Dryland","High N","1",30.8,0,0
"108",2012-11-09,0,"Maize","Irrigated","Low N","2",30.8,0,0
"109",2012-11-09,0,"Maize","Dryland","Median N","3",30.8,0,0
"110",2012-11-09,0,"Maize","Irrigated","Low N","3",30.8,0,0
"111",2012-11-09,0,"Maize","Irrigated","High N","4",30.8,0,0
"112",2012-11-09,0,"Maize","Irrigated","Median N","2",30.8,0,0
"113",2012-11-09,0,"Maize","Dryland","Median N","1",30.8,0,0
"114",2012-11-09,0,"Maize","Dryland","Low N","3",30.8,0,0
"115",2012-11-09,0,"Maize","Dryland","Low N","2",30.8,0,0
"116",2012-11-09,0,"Maize","Irrigated","Median N","4",30.8,0,0
"117",2012-11-09,0,"Maize","Dryland","High N","3",30.8,0,0
"118",2012-11-09,0,"Maize","Dryland","High N","4",30.8,0,0
"119",2012-11-09,0,"Maize","Irrigated","Low N","1",30.8,0,0
"120",2012-11-09,0,"Maize","Dryland","Low N","1",30.8,0,0
"121",2012-11-10,0,"Maize","Irrigated","Low N","1",30.5,0,0
"122",2012-11-10,0,"Maize","Irrigated","Low N","4",30.5,0,0
"123",2012-11-10,0,"Maize","Irrigated","High N","3",30.5,0,0
"124",2012-11-10,0,"Maize","Irrigated","High N","2",30.5,0,0
"125",2012-11-10,0,"Maize","Irrigated","High N","4",30.5,0,0
"126",2012-11-10,0,"Maize","Irrigated","Low N","2",30.5,0,0
"127",2012-11-10,0,"Maize","Dryland","Low N","1",30.5,0,0
"128",2012-11-10,0,"Maize","Dryland","Low N","4",30.5,0,0
"129",2012-11-10,0,"Maize","Dryland","High N","2",30.5,0,0
"130",2012-11-10,0,"Maize","Dryland","Low N","3",30.5,0,0
"131",2012-11-10,0,"Maize","Dryland","Median N","1",30.5,0,0
"132",2012-11-10,0,"Maize","Dryland","High N","3",30.5,0,0
"133",2012-11-10,0,"Maize","Dryland","Median N","2",30.5,0,0
"134",2012-11-10,0,"Maize","Dryland","High N","4",30.5,0,0
"135",2012-11-10,0,"Maize","Dryland","Median N","4",30.5,0,0
"136",2012-11-10,0,"Maize","Irrigated","High N","1",30.5,0,0
"137",2012-11-10,0,"Maize","Irrigated","Low N","3",30.5,0,0
"138",2012-11-10,0,"Maize","Dryland","Median N","3",30.5,0,0
"139",2012-11-10,0,"Maize","Irrigated","Median N","1",30.5,0,0
"140",2012-11-10,0,"Maize","Dryland","Low N","2",30.5,0,0
"141",2012-11-10,0,"Maize","Irrigated","Median N","3",30.5,0,0
"142",2012-11-10,0,"Maize","Irrigated","Median N","2",30.5,0,0
"143",2012-11-10,0,"Maize","Irrigated","Median N","4",30.5,0,0
"144",2012-11-10,0,"Maize","Dryland","High N","1",30.5,0,0
"145",2012-11-11,0,"Maize","Irrigated","Median N","1",21.3,0,0
"146",2012-11-11,0,"Maize","Irrigated","Low N","3",21.3,0,0
"147",2012-11-11,0,"Maize","Dryland","Median N","2",21.3,0,0
"148",2012-11-11,0,"Maize","Dryland","Median N","3",21.3,0,0
"149",2012-11-11,0,"Maize","Irrigated","Low N","4",21.3,0,0
"150",2012-11-11,0,"Maize","Irrigated","Median N","3",21.3,0,0
"151",2012-11-11,0,"Maize","Irrigated","Low N","2",21.3,0,0
"152",2012-11-11,0,"Maize","Irrigated","High N","3",21.3,0,0
"153",2012-11-11,0,"Maize","Dryland","Low N","3",21.3,0,0
"154",2012-11-11,0,"Maize","Irrigated","Low N","1",21.3,0,0
"155",2012-11-11,0,"Maize","Irrigated","Median N","2",21.3,0,0
"156",2012-11-11,0,"Maize","Dryland","Low N","1",21.3,0,0
"157",2012-11-11,0,"Maize","Irrigated","High N","1",21.3,0,0
"158",2012-11-11,0,"Maize","Dryland","High N","2",21.3,0,0
"159",2012-11-11,0,"Maize","Dryland","Median N","4",21.3,0,0
"160",2012-11-11,0,"Maize","Dryland","Median N","1",21.3,0,0
"161",2012-11-11,0,"Maize","Dryland","High N","3",21.3,0,0
"162",2012-11-11,0,"Maize","Dryland","High N","4",21.3,0,0
"163",2012-11-11,0,"Maize","Irrigated","High N","4",21.3,0,0
"164",2012-11-11,0,"Maize","Irrigated","High N","2",21.3,0,0
"165",2012-11-11,0,"Maize","Irrigated","Median N","4",21.3,0,0
"166",2012-11-11,0,"Maize","Dryland","Low N","4",21.3,0,0
"167",2012-11-11,0,"Maize","Dryland","Low N","2",21.3,0,0
"168",2012-11-11,0,"Maize","Dryland","High N","1",21.3,0,0
"169",2012-11-12,0,"Maize","Irrigated","High N","3",15.1,0,0
"170",2012-11-12,0,"Maize","Dryland","Median N","2",15.1,0,0
"171",2012-11-12,0,"Maize","Dryland","High N","2",15.1,0,0
"172",2012-11-12,0,"Maize","Irrigated","Low N","4",15.1,0,0
"173",2012-11-12,0,"Maize","Irrigated","Median N","3",15.1,0,0
"174",2012-11-12,0,"Maize","Irrigated","High N","1",15.1,0,0
"175",2012-11-12,0,"Maize","Dryland","Median N","3",15.1,0,0
"176",2012-11-12,0,"Maize","Irrigated","High N","4",15.1,0,0
"177",2012-11-12,0,"Maize","Dryland","Median N","4",15.1,0,0
"178",2012-11-12,0,"Maize","Dryland","High N","3",15.1,0,0
"179",2012-11-12,0,"Maize","Irrigated","Low N","2",15.1,0,0
"180",2012-11-12,0,"Maize","Dryland","Low N","4",15.1,0,0
"181",2012-11-12,0,"Maize","Irrigated","High N","2",15.1,0,0
"182",2012-11-12,0,"Maize","Irrigated","Low N","1",15.1,0,0
"183",2012-11-12,0,"Maize","Dryland","Low N","1",15.1,0,0
"184",2012-11-12,0,"Maize","Dryland","High N","4",15.1,0,0
"185",2012-11-12,0,"Maize","Dryland","Low N","3",15.1,0,0
"186",2012-11-12,0,"Maize","Irrigated","Median N","1",15.1,0,0
"187",2012-11-12,0,"Maize","Dryland","High N","1",15.1,0,0
"188",2012-11-12,0,"Maize","Dryland","Median N","1",15.1,0,0
"189",2012-11-12,0,"Maize","Irrigated","Low N","3",15.1,0,0
"190",2012-11-12,0,"Maize","Dryland","Low N","2",15.1,0,0
"191",2012-11-12,0,"Maize","Irrigated","Median N","2",15.1,0,0
"192",2012-11-12,0,"Maize","Irrigated","Median N","4",15.1,0,0
"193",2012-11-13,0,"Maize","Dryland","Median N","3",19.8,0,0
"194",2012-11-13,0,"Maize","Irrigated","Low N","2",19.8,0,0
"195",2012-11-13,0,"Maize","Dryland","Median N","4",19.8,0,0
"196",2012-11-13,0,"Maize","Irrigated","Low N","4",19.8,0,0
"197",2012-11-13,0,"Maize","Irrigated","Median N","2",19.8,0,0
"198",2012-11-13,0,"Maize","Dryland","High N","4",19.8,0,0
"199",2012-11-13,0,"Maize","Irrigated","Low N","3",19.8,0,0
"200",2012-11-13,0.00516913000576236,"Maize","Dryland","High N","2",19.8,0.102348774114095,0.102348774114095
"201",2012-11-13,0,"Maize","Dryland","High N","3",19.8,0,0
"202",2012-11-13,0.00559950538722701,"Maize","Dryland","Median N","2",19.8,0.110870206667095,0.110870206667095
"203",2012-11-13,0,"Maize","Dryland","Median N","1",19.8,0,0
"204",2012-11-13,0,"Maize","Dryland","Low N","3",19.8,0,0
"205",2012-11-13,0,"Maize","Irrigated","High N","4",19.8,0,0
"206",2012-11-13,0,"Maize","Irrigated","Low N","1",19.8,0,0
"207",2012-11-13,0,"Maize","Irrigated","High N","3",19.8,0,0
"208",2012-11-13,0,"Maize","Irrigated","High N","1",19.8,0,0
"209",2012-11-13,0,"Maize","Dryland","Low N","4",19.8,0,0
"210",2012-11-13,0,"Maize","Irrigated","Median N","1",19.8,0,0
"211",2012-11-13,0,"Maize","Irrigated","Median N","3",19.8,0,0
"212",2012-11-13,0,"Maize","Dryland","Low N","1",19.8,0,0
"213",2012-11-13,0,"Maize","Dryland","Low N","2",19.8,0,0
"214",2012-11-13,0,"Maize","Dryland","High N","1",19.8,0,0
"215",2012-11-13,0,"Maize","Irrigated","High N","2",19.8,0,0
"216",2012-11-13,0,"Maize","Irrigated","Median N","4",19.8,0,0
"217",2012-11-14,0,"Maize","Dryland","Median N","3",13.9,0,0
"218",2012-11-14,0,"Maize","Irrigated","High N","3",13.9,0,0
"219",2012-11-14,0,"Maize","Dryland","Median N","4",13.9,0,0
"220",2012-11-14,0,"Maize","Irrigated","Low N","4",13.9,0,0
"221",2012-11-14,0.0180075948999714,"Maize","Dryland","Median N","2",13.9,0.250305569109602,0.361175775776697
"222",2012-11-14,0.00885434921812316,"Maize","Dryland","Median N","1",13.9,0.123075454131912,0.123075454131912
"223",2012-11-14,0,"Maize","Irrigated","High N","4",13.9,0,0
"224",2012-11-14,0,"Maize","Irrigated","Median N","1",13.9,0,0
"225",2012-11-14,0.00178160099240617,"Maize","Irrigated","High N","1",13.9,0.0247642537944458,0.0247642537944458
"226",2012-11-14,0.00764834111110492,"Maize","Dryland","High N","4",13.9,0.106311941444358,0.106311941444358
"227",2012-11-14,0,"Maize","Dryland","Low N","4",13.9,0,0
"228",2012-11-14,0.0165792779150317,"Maize","Dryland","High N","2",13.9,0.230451963018941,0.332800737133035
"229",2012-11-14,0.0064972519279453,"Maize","Dryland","High N","3",13.9,0.0903118017984397,0.0903118017984397
"230",2012-11-14,0.00198496181888873,"Maize","Irrigated","Low N","2",13.9,0.0275909692825533,0.0275909692825533
"231",2012-11-14,0.0086559714124245,"Maize","Dryland","Low N","1",13.9,0.120318002632701,0.120318002632701
"232",2012-11-14,0,"Maize","Irrigated","Low N","3",13.9,0,0
"233",2012-11-14,0,"Maize","Irrigated","Low N","1",13.9,0,0
"234",2012-11-14,0,"Maize","Irrigated","Median N","3",13.9,0,0
"235",2012-11-14,0,"Maize","Irrigated","Median N","2",13.9,0,0
"236",2012-11-14,0.00828922405726032,"Maize","Dryland","Low N","3",13.9,0.115220214395918,0.115220214395918
"237",2012-11-14,0,"Maize","Irrigated","High N","2",13.9,0,0
"238",2012-11-14,0,"Maize","Dryland","High N","1",13.9,0,0
"239",2012-11-14,0.00463860876733183,"Maize","Dryland","Low N","2",13.9,0.0644766618659124,0.0644766618659124
"240",2012-11-14,0,"Maize","Irrigated","Median N","4",13.9,0,0
"241",2012-11-15,0.0304156844127157,"Maize","Dryland","Median N","2",28.1,0.854680731997311,1.21585650777401
"242",2012-11-15,0.00744550537942856,"Maize","Dryland","Median N","3",28.1,0.209218701161943,0.209218701161943
"243",2012-11-15,0.0192045166425793,"Maize","Dryland","High N","3",28.1,0.539646917656478,0.629958719454918
"244",2012-11-15,0.0124895533737881,"Maize","Irrigated","Low N","1",28.1,0.350956449803446,0.350956449803446
"245",2012-11-15,0.0201747673059798,"Maize","Dryland","Median N","1",28.1,0.566910961298032,0.689986415429944
"246",2012-11-15,0.0212138607636301,"Maize","Dryland","High N","4",28.1,0.596109487458006,0.702421428902364
"247",2012-11-15,0,"Maize","Dryland","High N","1",28.1,0,0
"248",2012-11-15,0.0158987460613678,"Maize","Irrigated","Low N","2",28.1,0.446754764324435,0.474345733606989
"249",2012-11-15,0.0123083558241524,"Maize","Irrigated","High N","3",28.1,0.345864798658682,0.345864798658682
"250",2012-11-15,0,"Maize","Dryland","Low N","4",28.1,0,0
"251",2012-11-15,0.00965644457080914,"Maize","Irrigated","Low N","4",28.1,0.271346092439737,0.271346092439737
"252",2012-11-15,0.00413776414140507,"Maize","Irrigated","Median N","2",28.1,0.116271172373482,0.116271172373482
"253",2012-11-15,0.0279894258243011,"Maize","Dryland","High N","2",28.1,0.786502865662861,1.1193036027959
"254",2012-11-15,0.0145814719720824,"Maize","Irrigated","High N","1",28.1,0.409739362415515,0.434503616209961
"255",2012-11-15,0.0152212880738894,"Maize","Dryland","Low N","2",28.1,0.427718194876292,0.492194856742205
"256",2012-11-15,0.0204835858603158,"Maize","Dryland","Low N","3",28.1,0.575588762674874,0.690808977070792
"257",2012-11-15,0.00262347397450827,"Maize","Irrigated","Median N","1",28.1,0.0737196186836824,0.0737196186836824
"258",2012-11-15,0.0213079047754735,"Maize","Dryland","Low N","1",28.1,0.598752124190805,0.719070126823506
"259",2012-11-15,0.00169409447935423,"Maize","Irrigated","Median N","3",28.1,0.0476040548698539,0.0476040548698539
"260",2012-11-15,0.011979801551683,"Maize","Dryland","Median N","4",28.1,0.336632423602292,0.336632423602292
"261",2012-11-15,0,"Maize","Irrigated","Median N","4",28.1,0,0
"262",2012-11-15,0.0039602802250554,"Maize","Irrigated","Low N","3",28.1,0.111283874324057,0.111283874324057
"263",2012-11-15,0,"Maize","Irrigated","High N","4",28.1,0,0
"264",2012-11-15,0.0132178115035066,"Maize","Irrigated","High N","2",28.1,0.371420503248535,0.371420503248535
"265",2012-11-16,0.0314951853938365,"Maize","Dryland","Median N","1",14.7,0.462979225289397,1.15296564071934
"266",2012-11-16,0.0276423864928375,"Maize","Irrigated","High N","3",14.7,0.406343081444711,0.752207880103394
"267",2012-11-16,0.0319117813572133,"Maize","Dryland","High N","3",14.7,0.469103185951036,1.09906190540595
"268",2012-11-16,0.0158903888470824,"Maize","Irrigated","Median N","3",14.7,0.233588716052111,0.281192770921965
"269",2012-11-16,0.0262146054511514,"Maize","Dryland","Median N","4",14.7,0.385354700131926,0.721987123734218
"270",2012-11-16,0.0393995737335704,"Maize","Dryland","High N","2",14.7,0.579173733883485,1.69847733667938
"271",2012-11-16,0.0273813429517587,"Maize","Irrigated","High N","1",14.7,0.402505741390853,0.837009357600814
"272",2012-11-16,0.00710926589982325,"Maize","Dryland","High N","1",14.7,0.104506208727402,0.104506208727402
"273",2012-11-16,0.0428237739254601,"Maize","Dryland","Median N","2",14.7,0.629509476704263,1.84536598447827
"274",2012-11-16,0.011439739918994,"Maize","Dryland","Low N","4",14.7,0.168164176809212,0.168164176809212
"275",2012-11-16,0.0326779476633713,"Maize","Dryland","Low N","3",14.7,0.480365830651558,1.17117480772235
"276",2012-11-16,0.0269637516779777,"Maize","Irrigated","Low N","1",14.7,0.396367149666272,0.747323599469718
"277",2012-11-16,0.0298125303038469,"Maize","Irrigated","Low N","2",14.7,0.438244195466549,0.912589929073538
"278",2012-11-16,0.0347793804161554,"Maize","Dryland","High N","4",14.7,0.511256892117484,1.21367832101985
"279",2012-11-16,0.0222994769485861,"Maize","Irrigated","Low N","4",14.7,0.327802311144216,0.599148403583952
"280",2012-11-16,0.0136341520528046,"Maize","Irrigated","High N","4",14.7,0.200422035176228,0.200422035176228
"281",2012-11-16,0.0181410174546741,"Maize","Irrigated","Median N","2",14.7,0.266672956583709,0.382944128957192
"282",2012-11-16,0.0339598381385225,"Maize","Dryland","Low N","1",14.7,0.499209620636281,1.21827974745979
"283",2012-11-16,0.0129280365690863,"Maize","Irrigated","Median N","4",14.7,0.190042137565569,0.190042137565569
"284",2012-11-16,0.0258039673804471,"Maize","Dryland","Low N","2",14.7,0.379318320492572,0.871513177234777
"285",2012-11-16,0.0280356548933182,"Maize","Irrigated","High N","2",14.7,0.412124126931778,0.783544630180313
"286",2012-11-16,0.0210838626112402,"Maize","Dryland","Median N","3",14.7,0.309932780385231,0.519151481547173
"287",2012-11-16,0.0173810310408796,"Maize","Irrigated","Low N","3",14.7,0.25550115630093,0.366785030624987
"288",2012-11-16,0.0178073304607757,"Maize","Irrigated","Median N","1",14.7,0.261767757773403,0.335487376457085
"289",2012-11-17,0.0552318634382044,"Maize","Dryland","Median N","2",27.2,1.50230668551916,3.34767266999743
"290",2012-11-17,0.0508097216428397,"Maize","Dryland","High N","2",27.2,1.38202442868524,3.08050176536462
"291",2012-11-17,0.0437263145463259,"Maize","Irrigated","Low N","2",27.2,1.18935575566006,2.1019456847336
"292",2012-11-17,0.0347222198430518,"Maize","Dryland","Median N","3",27.2,0.944444379731009,1.46359586127818
"293",2012-11-17,0.0483449000686806,"Maize","Dryland","High N","4",27.2,1.31498128186811,2.52865960288796
"294",2012-11-17,0.034942509326363,"Maize","Irrigated","Low N","4",27.2,0.950436253677074,1.54958465726103
"295",2012-11-17,0.0300866832148105,"Maize","Irrigated","Median N","3",27.2,0.818357783442846,1.09955055436481
"296",2012-11-17,0.0466117715015715,"Maize","Dryland","Low N","1",27.2,1.26784018484274,2.48611993230253
"297",2012-11-17,0.0232538080099653,"Maize","Dryland","Low N","4",27.2,0.632503577871056,0.800667754680268
"298",2012-11-17,0.0448723094664268,"Maize","Dryland","Low N","3",27.2,1.22052681748681,2.39170162520916
"299",2012-11-17,0.0404494093506197,"Maize","Dryland","Median N","4",27.2,1.10022393433686,1.82221105807107
"300",2012-11-17,0.0446190460718473,"Maize","Dryland","High N","3",27.2,1.21363805315425,2.3126999585602
"301",2012-11-17,0.0428156034816932,"Maize","Dryland","Median N","1",27.2,1.16458441470205,2.3175500554214
"302",2012-11-17,0.040181213931435,"Maize","Irrigated","High N","1",27.2,1.09292901893503,1.92993837653585
"303",2012-11-17,0.0283736683015479,"Maize","Irrigated","High N","4",27.2,0.771763777802103,0.97218581297833
"304",2012-11-17,0.0414379499821673,"Maize","Irrigated","Low N","1",27.2,1.12711223951495,1.87443583898467
"305",2012-11-17,0.0429764171615227,"Maize","Irrigated","High N","3",27.2,1.16895854679342,1.92116642689681
"306",2012-11-17,0.0267983388077762,"Maize","Irrigated","Median N","4",27.2,0.728914815571513,0.918956953137081
"307",2012-11-17,0.0363866466870047,"Maize","Dryland","Low N","2",27.2,0.989716789886528,1.8612299671213
"308",2012-11-17,0.0329911869470431,"Maize","Irrigated","Median N","1",27.2,0.897360284959572,1.23284766141666
"309",2012-11-17,0.0321442707679431,"Maize","Irrigated","Median N","2",27.2,0.874324164888052,1.25726829384524
"310",2012-11-17,0.0308017818567039,"Maize","Irrigated","Low N","3",27.2,0.837808466502346,1.20459349712733
"311",2012-11-17,0.0193139986550682,"Maize","Dryland","High N","1",27.2,0.525340763417855,0.629846972145257
"312",2012-11-17,0.0428534982831298,"Maize","Irrigated","High N","2",27.2,1.16561515330113,1.94915978348144
"313",2012-11-18,0.0483605770748634,"Maize","Dryland","Median N","3",13.9,0.672212021340601,2.13580788261878
"314",2012-11-18,0.0350678761009367,"Maize","Dryland","Low N","4",13.9,0.48744347780302,1.28811123248329
"315",2012-11-18,0.0573263107864813,"Maize","Dryland","High N","3",13.9,0.79683571993209,3.10953567849229
"316",2012-11-18,0.0676399529509488,"Maize","Dryland","Median N","2",13.9,0.940195346018188,4.28786801601562
"317",2012-11-18,0.0570666712694823,"Maize","Dryland","Low N","3",13.9,0.793226730645804,3.18492835585496
"318",2012-11-18,0.0559121482863569,"Maize","Irrigated","Low N","1",13.9,0.777178861180361,2.65161470016503
"319",2012-11-18,0.0583104478302079,"Maize","Irrigated","High N","3",13.9,0.81051522483989,2.7316816517367
"320",2012-11-18,0.0619104197212058,"Maize","Dryland","High N","4",13.9,0.860554834124761,3.38921443701272
"321",2012-11-18,0.0475855417041399,"Maize","Irrigated","Low N","4",13.9,0.661439029687545,2.21102368694857
"322",2012-11-18,0.0481750434333105,"Maize","Irrigated","Median N","1",13.9,0.669633103723016,1.90248076513967
"323",2012-11-18,0.0442829775825386,"Maize","Irrigated","Median N","3",13.9,0.615533388397287,1.7150839427621
"324",2012-11-18,0.0592637048646205,"Maize","Dryland","Low N","1",13.9,0.823765497618225,3.30988542992076
"325",2012-11-18,0.040668641046466,"Maize","Irrigated","Median N","4",13.9,0.565294110545877,1.48425106368296
"326",2012-11-18,0.0469693259935623,"Maize","Dryland","Low N","2",13.9,0.652873631310516,2.51410359843182
"327",2012-11-18,0.0315187314103132,"Maize","Dryland","High N","1",13.9,0.438110366603354,1.06795733874861
"328",2012-11-18,0.0541360215695498,"Maize","Dryland","Median N","1",13.9,0.752490699816742,3.07004075523814
"329",2012-11-18,0.0529810849111113,"Maize","Irrigated","High N","1",13.9,0.736437080264447,2.66637545680029
"330",2012-11-18,0.057640098788805,"Maize","Irrigated","Low N","2",13.9,0.80119737316439,2.90314305789799
"331",2012-11-18,0.054684213250088,"Maize","Dryland","Median N","4",13.9,0.760110564176223,2.5823216222473
"332",2012-11-18,0.0576713416729415,"Maize","Irrigated","High N","2",13.9,0.801631649253887,2.75079143273533
"333",2012-11-18,0.0461475240812121,"Maize","Irrigated","Median N","2",13.9,0.641450584728848,1.89871887857409
