"","HarvestDate","Plot","Organ","Block","WaterTreat","NitroTreat","BiomassWeight","NitrogenPerc","NitrogenWeight","Crop"
"51",2012-10-23,"17","Husk","3","Dryland","High N",0,NA,NA,"Maize"
"52",2012-10-23,"17","Leaf","3","Dryland","High N",0,NA,NA,"Maize"
"53",2012-10-23,"17","Rachis","3","Dryland","High N",0,NA,NA,"Maize"
"54",2012-10-23,"17","Stem","3","Dryland","High N",0,NA,NA,"Maize"
"55",2012-10-23,"18","Senesced","3","Dryland","Median N",0,NA,NA,"Maize"
"56",2012-10-23,"18","Grain","3","Dryland","Median N",0,NA,NA,"Maize"
"57",2012-10-23,"18","Husk","3","Dryland","Median N",0,NA,NA,"Maize"
"58",2012-10-23,"18","Leaf","3","Dryland","Median N",0,NA,NA,"Maize"
"59",2012-10-23,"18","Rachis","3","Dryland","Median N",0,NA,NA,"Maize"
"60",2012-10-23,"18","Stem","3","Dryland","Median N",0,NA,NA,"Maize"
"61",2012-10-23,"19","Senesced","4","Dryland","High N",0,NA,NA,"Maize"
"62",2012-10-23,"19","Grain","4","Dryland","High N",0,NA,NA,"Maize"
"63",2012-10-23,"19","Husk","4","Dryland","High N",0,NA,NA,"Maize"
"64",2012-10-23,"19","Leaf","4","Dryland","High N",0,NA,NA,"Maize"
"65",2012-10-23,"19","Rachis","4","Dryland","High N",0,NA,NA,"Maize"
"66",2012-10-23,"19","Stem","4","Dryland","High N",0,NA,NA,"Maize"
"67",2012-10-23,"2","Senesced","1","Irrigated","Low N",0,NA,NA,"Maize"
"68",2012-10-23,"2","Grain","1","Irrigated","Low N",0,NA,NA,"Maize"
"69",2012-10-23,"2","Husk","1","Irrigated","Low N",0,NA,NA,"Maize"
"70",2012-10-23,"2","Leaf","1","Irrigated","Low N",0,NA,NA,"Maize"
"71",2012-10-23,"2","Rachis","1","Irrigated","Low N",0,NA,NA,"Maize"
"72",2012-10-23,"2","Stem","1","Irrigated","Low N",0,NA,NA,"Maize"
"73",2012-10-23,"20","Senesced","4","Irrigated","Low N",0,NA,NA,"Maize"
"74",2012-10-23,"20","Grain","4","Irrigated","Low N",0,NA,NA,"Maize"
"75",2012-10-23,"20","Husk","4","Irrigated","Low N",0,NA,NA,"Maize"
"76",2012-10-23,"20","Leaf","4","Irrigated","Low N",0,NA,NA,"Maize"
"77",2012-10-23,"20","Rachis","4","Irrigated","Low N",0,NA,NA,"Maize"
"78",2012-10-23,"20","Stem","4","Irrigated","Low N",0,NA,NA,"Maize"
"79",2012-10-23,"21","Senesced","4","Dryland","Median N",0,NA,NA,"Maize"
"80",2012-10-23,"21","Grain","4","Dryland","Median N",0,NA,NA,"Maize"
"81",2012-10-23,"21","Husk","4","Dryland","Median N",0,NA,NA,"Maize"
"82",2012-10-23,"21","Leaf","4","Dryland","Median N",0,NA,NA,"Maize"
"83",2012-10-23,"21","Rachis","4","Dryland","Median N",0,NA,NA,"Maize"
"84",2012-10-23,"21","Stem","4","Dryland","Median N",0,NA,NA,"Maize"
"85",2012-10-23,"22","Senesced","4","Irrigated","Median N",0,NA,NA,"Maize"
"86",2012-10-23,"22","Grain","4","Irrigated","Median N",0,NA,NA,"Maize"
"87",2012-10-23,"22","Husk","4","Irrigated","Median N",0,NA,NA,"Maize"
"88",2012-10-23,"22","Leaf","4","Irrigated","Median N",0,NA,NA,"Maize"
"89",2012-10-23,"22","Rachis","4","Irrigated","Median N",0,NA,NA,"Maize"
"90",2012-10-23,"22","Stem","4","Irrigated","Median N",0,NA,NA,"Maize"
"91",2012-10-23,"23","Senesced","4","Dryland","Low N",0,NA,NA,"Maize"
"92",2012-10-23,"23","Grain","4","Dryland","Low N",0,NA,NA,"Maize"
"93",2012-10-23,"23","Husk","4","Dryland","Low N",0,NA,NA,"Maize"
"94",2012-10-23,"23","Leaf","4","Dryland","Low N",0,NA,NA,"Maize"
"95",2012-10-23,"23","Rachis","4","Dryland","Low N",0,NA,NA,"Maize"
"96",2012-10-23,"23","Stem","4","Dryland","Low N",0,NA,NA,"Maize"
"97",2012-10-23,"24","Senesced","4","Irrigated","High N",0,NA,NA,"Maize"
"98",2012-10-23,"24","Grain","4","Irrigated","High N",0,NA,NA,"Maize"
"99",2012-10-23,"24","Husk","4","Irrigated","High N",0,NA,NA,"Maize"
"100",2012-10-23,"24","Leaf","4","Irrigated","High N",0,NA,NA,"Maize"
"101",2012-10-23,"24","Rachis","4","Irrigated","High N",0,NA,NA,"Maize"
"102",2012-10-23,"24","Stem","4","Irrigated","High N",0,NA,NA,"Maize"
"103",2012-10-23,"3","Senesced","1","Dryland","High N",0,NA,NA,"Maize"
"104",2012-10-23,"3","Grain","1","Dryland","High N",0,NA,NA,"Maize"
"105",2012-10-23,"3","Husk","1","Dryland","High N",0,NA,NA,"Maize"
"106",2012-10-23,"3","Leaf","1","Dryland","High N",0,NA,NA,"Maize"
"107",2012-10-23,"3","Rachis","1","Dryland","High N",0,NA,NA,"Maize"
"108",2012-10-23,"3","Stem","1","Dryland","High N",0,NA,NA,"Maize"
"109",2012-10-23,"4","Senesced","1","Dryland","Low N",0,NA,NA,"Maize"
"110",2012-10-23,"4","Grain","1","Dryland","Low N",0,NA,NA,"Maize"
"111",2012-10-23,"4","Husk","1","Dryland","Low N",0,NA,NA,"Maize"
"112",2012-10-23,"4","Leaf","1","Dryland","Low N",0,NA,NA,"Maize"
"113",2012-10-23,"4","Rachis","1","Dryland","Low N",0,NA,NA,"Maize"
"114",2012-10-23,"4","Stem","1","Dryland","Low N",0,NA,NA,"Maize"
"115",2012-10-23,"5","Senesced","1","Irrigated","High N",0,NA,NA,"Maize"
"116",2012-10-23,"5","Grain","1","Irrigated","High N",0,NA,NA,"Maize"
"117",2012-10-23,"5","Husk","1","Irrigated","High N",0,NA,NA,"Maize"
"118",2012-10-23,"5","Leaf","1","Irrigated","High N",0,NA,NA,"Maize"
"119",2012-10-23,"5","Rachis","1","Irrigated","High N",0,NA,NA,"Maize"
"120",2012-10-23,"5","Stem","1","Irrigated","High N",0,NA,NA,"Maize"
"121",2012-10-23,"6","Senesced","1","Dryland","Median N",0,NA,NA,"Maize"
"122",2012-10-23,"6","Grain","1","Dryland","Median N",0,NA,NA,"Maize"
"123",2012-10-23,"6","Husk","1","Dryland","Median N",0,NA,NA,"Maize"
"124",2012-10-23,"6","Leaf","1","Dryland","Median N",0,NA,NA,"Maize"
"125",2012-10-23,"6","Rachis","1","Dryland","Median N",0,NA,NA,"Maize"
"126",2012-10-23,"6","Stem","1","Dryland","Median N",0,NA,NA,"Maize"
"127",2012-10-23,"7","Senesced","2","Irrigated","Low N",0,NA,NA,"Maize"
"128",2012-10-23,"7","Grain","2","Irrigated","Low N",0,NA,NA,"Maize"
"129",2012-10-23,"7","Husk","2","Irrigated","Low N",0,NA,NA,"Maize"
"130",2012-10-23,"7","Leaf","2","Irrigated","Low N",0,NA,NA,"Maize"
"131",2012-10-23,"7","Rachis","2","Irrigated","Low N",0,NA,NA,"Maize"
"132",2012-10-23,"7","Stem","2","Irrigated","Low N",0,NA,NA,"Maize"
"133",2012-10-23,"8","Senesced","2","Dryland","Median N",0,NA,NA,"Maize"
"134",2012-10-23,"8","Grain","2","Dryland","Median N",0,NA,NA,"Maize"
"135",2012-10-23,"8","Husk","2","Dryland","Median N",0,NA,NA,"Maize"
"136",2012-10-23,"8","Leaf","2","Dryland","Median N",0,NA,NA,"Maize"
"137",2012-10-23,"8","Rachis","2","Dryland","Median N",0,NA,NA,"Maize"
"138",2012-10-23,"8","Stem","2","Dryland","Median N",0,NA,NA,"Maize"
"139",2012-10-23,"9","Senesced","2","Dryland","High N",0,NA,NA,"Maize"
"140",2012-10-23,"9","Grain","2","Dryland","High N",0,NA,NA,"Maize"
"141",2012-10-23,"9","Husk","2","Dryland","High N",0,NA,NA,"Maize"
"142",2012-10-23,"9","Leaf","2","Dryland","High N",0,NA,NA,"Maize"
"143",2012-10-23,"9","Rachis","2","Dryland","High N",0,NA,NA,"Maize"
"144",2012-10-23,"9","Stem","2","Dryland","High N",0,NA,NA,"Maize"
"145",2012-12-17,"1","Senesced","1","Irrigated","Median N",0,NA,NA,"Maize"
"146",2012-12-17,"1","Grain","1","Irrigated","Median N",0,NA,NA,"Maize"
"147",2012-12-17,"1","Husk","1","Irrigated","Median N",0,NA,NA,"Maize"
"148",2012-12-17,"1","Leaf","1","Irrigated","Median N",356,3.807,13.55292,"Maize"
"149",2012-12-17,"1","Rachis","1","Irrigated","Median N",0,NA,NA,"Maize"
"150",2012-12-17,"1","Stem","1","Irrigated","Median N",208,3.056,6.35648,"Maize"
"151",2012-12-17,"10","Senesced","2","Irrigated","Median N",0,NA,NA,"Maize"
"152",2012-12-17,"10","Grain","2","Irrigated","Median N",0,NA,NA,"Maize"
"153",2012-12-17,"10","Husk","2","Irrigated","Median N",0,NA,NA,"Maize"
"154",2012-12-17,"10","Leaf","2","Irrigated","Median N",384,3.142,12.06528,"Maize"
"155",2012-12-17,"10","Rachis","2","Irrigated","Median N",0,NA,NA,"Maize"
"156",2012-12-17,"10","Stem","2","Irrigated","Median N",228,2.434,5.54952,"Maize"
"157",2012-12-17,"11","Senesced","2","Dryland","Low N",0,NA,NA,"Maize"
"158",2012-12-17,"11","Grain","2","Dryland","Low N",0,NA,NA,"Maize"
"159",2012-12-17,"11","Husk","2","Dryland","Low N",0,NA,NA,"Maize"
"160",2012-12-17,"11","Leaf","2","Dryland","Low N",368,2.92,10.7456,"Maize"
"161",2012-12-17,"11","Rachis","2","Dryland","Low N",0,NA,NA,"Maize"
"162",2012-12-17,"11","Stem","2","Dryland","Low N",260,2.01,5.226,"Maize"
"163",2012-12-17,"12","Senesced","2","Irrigated","High N",0,NA,NA,"Maize"
"164",2012-12-17,"12","Grain","2","Irrigated","High N",0,NA,NA,"Maize"
"165",2012-12-17,"12","Husk","2","Irrigated","High N",0,NA,NA,"Maize"
"166",2012-12-17,"12","Leaf","2","Irrigated","High N",362,3.23,11.6926,"Maize"
"167",2012-12-17,"12","Rachis","2","Irrigated","High N",0,NA,NA,"Maize"
"168",2012-12-17,"12","Stem","2","Irrigated","High N",250,2.36,5.9,"Maize"
"169",2012-12-17,"13","Senesced","3","Dryland","Low N",0,NA,NA,"Maize"
"170",2012-12-17,"13","Grain","3","Dryland","Low N",0,NA,NA,"Maize"
"171",2012-12-17,"13","Husk","3","Dryland","Low N",0,NA,NA,"Maize"
"172",2012-12-17,"13","Leaf","3","Dryland","Low N",374,3.319,12.41306,"Maize"
"173",2012-12-17,"13","Rachis","3","Dryland","Low N",0,NA,NA,"Maize"
"174",2012-12-17,"13","Stem","3","Dryland","Low N",250,2.399,5.9975,"Maize"
"175",2012-12-17,"14","Senesced","3","Irrigated","Median N",0,NA,NA,"Maize"
"176",2012-12-17,"14","Grain","3","Irrigated","Median N",0,NA,NA,"Maize"
"177",2012-12-17,"14","Husk","3","Irrigated","Median N",0,NA,NA,"Maize"
"178",2012-12-17,"14","Leaf","3","Irrigated","Median N",342,3.019,10.32498,"Maize"
"179",2012-12-17,"14","Rachis","3","Irrigated","Median N",0,NA,NA,"Maize"
"180",2012-12-17,"14","Stem","3","Irrigated","Median N",228,2.274,5.18472,"Maize"
"181",2012-12-17,"15","Senesced","3","Irrigated","High N",0,NA,NA,"Maize"
"182",2012-12-17,"15","Grain","3","Irrigated","High N",0,NA,NA,"Maize"
"183",2012-12-17,"15","Husk","3","Irrigated","High N",0,NA,NA,"Maize"
"184",2012-12-17,"15","Leaf","3","Irrigated","High N",472,3.506,16.54832,"Maize"
"185",2012-12-17,"15","Rachis","3","Irrigated","High N",0,NA,NA,"Maize"
"186",2012-12-17,"15","Stem","3","Irrigated","High N",284,2.876,8.16784,"Maize"
"187",2012-12-17,"16","Senesced","3","Irrigated","Low N",0,NA,NA,"Maize"
"188",2012-12-17,"16","Grain","3","Irrigated","Low N",0,NA,NA,"Maize"
"189",2012-12-17,"16","Husk","3","Irrigated","Low N",0,NA,NA,"Maize"
"190",2012-12-17,"16","Leaf","3","Irrigated","Low N",366,3.611,13.21626,"Maize"
"191",2012-12-17,"16","Rachis","3","Irrigated","Low N",0,NA,NA,"Maize"
"192",2012-12-17,"16","Stem","3","Irrigated","Low N",266,2.692,7.16072,"Maize"
"193",2012-12-17,"17","Senesced","3","Dryland","High N",0,NA,NA,"Maize"
"194",2012-12-17,"17","Grain","3","Dryland","High N",0,NA,NA,"Maize"
"195",2012-12-17,"17","Husk","3","Dryland","High N",0,NA,NA,"Maize"
"196",2012-12-17,"17","Leaf","3","Dryland","High N",416,3.198,13.30368,"Maize"
"197",2012-12-17,"17","Rachis","3","Dryland","High N",0,NA,NA,"Maize"
"198",2012-12-17,"17","Stem","3","Dryland","High N",328,2.276,7.46528,"Maize"
"199",2012-12-17,"18","Senesced","3","Dryland","Median N",0,NA,NA,"Maize"
"200",2012-12-17,"18","Grain","3","Dryland","Median N",0,NA,NA,"Maize"
"201",2012-12-17,"18","Husk","3","Dryland","Median N",0,NA,NA,"Maize"
"202",2012-12-17,"18","Leaf","3","Dryland","Median N",466,3.24,15.0984,"Maize"
"203",2012-12-17,"18","Rachis","3","Dryland","Median N",0,NA,NA,"Maize"
"204",2012-12-17,"18","Stem","3","Dryland","Median N",338,2.496,8.43648,"Maize"
"205",2012-12-17,"19","Senesced","4","Dryland","High N",0,NA,NA,"Maize"
"206",2012-12-17,"19","Grain","4","Dryland","High N",0,NA,NA,"Maize"
"207",2012-12-17,"19","Husk","4","Dryland","High N",0,NA,NA,"Maize"
"208",2012-12-17,"19","Leaf","4","Dryland","High N",454,3.604,16.36216,"Maize"
"209",2012-12-17,"19","Rachis","4","Dryland","High N",0,NA,NA,"Maize"
"210",2012-12-17,"19","Stem","4","Dryland","High N",250,2.716,6.79,"Maize"
"211",2012-12-17,"2","Senesced","1","Irrigated","Low N",0,NA,NA,"Maize"
"212",2012-12-17,"2","Grain","1","Irrigated","Low N",0,NA,NA,"Maize"
"213",2012-12-17,"2","Husk","1","Irrigated","Low N",0,NA,NA,"Maize"
"214",2012-12-17,"2","Leaf","1","Irrigated","Low N",288,3.201,9.21888,"Maize"
"215",2012-12-17,"2","Rachis","1","Irrigated","Low N",0,NA,NA,"Maize"
"216",2012-12-17,"2","Stem","1","Irrigated","Low N",146,2.309,3.37114,"Maize"
"217",2012-12-17,"20","Senesced","4","Irrigated","Low N",0,NA,NA,"Maize"
"218",2012-12-17,"20","Grain","4","Irrigated","Low N",0,NA,NA,"Maize"
"219",2012-12-17,"20","Husk","4","Irrigated","Low N",0,NA,NA,"Maize"
"220",2012-12-17,"20","Leaf","4","Irrigated","Low N",352,3.33,11.7216,"Maize"
"221",2012-12-17,"20","Rachis","4","Irrigated","Low N",0,NA,NA,"Maize"
"222",2012-12-17,"20","Stem","4","Irrigated","Low N",186,2.377,4.42122,"Maize"
"223",2012-12-17,"21","Senesced","4","Dryland","Median N",0,NA,NA,"Maize"
"224",2012-12-17,"21","Grain","4","Dryland","Median N",0,NA,NA,"Maize"
"225",2012-12-17,"21","Husk","4","Dryland","Median N",0,NA,NA,"Maize"
"226",2012-12-17,"21","Leaf","4","Dryland","Median N",552,2.985,16.4772,"Maize"
"227",2012-12-17,"21","Rachis","4","Dryland","Median N",0,NA,NA,"Maize"
"228",2012-12-17,"21","Stem","4","Dryland","Median N",306,2.205,6.7473,"Maize"
"229",2012-12-17,"22","Senesced","4","Irrigated","Median N",0,NA,NA,"Maize"
"230",2012-12-17,"22","Grain","4","Irrigated","Median N",0,NA,NA,"Maize"
"231",2012-12-17,"22","Husk","4","Irrigated","Median N",0,NA,NA,"Maize"
"232",2012-12-17,"22","Leaf","4","Irrigated","Median N",344,3.624,12.46656,"Maize"
"233",2012-12-17,"22","Rachis","4","Irrigated","Median N",0,NA,NA,"Maize"
"234",2012-12-17,"22","Stem","4","Irrigated","Median N",232,2.858,6.63056,"Maize"
"235",2012-12-17,"23","Senesced","4","Dryland","Low N",0,NA,NA,"Maize"
"236",2012-12-17,"23","Grain","4","Dryland","Low N",0,NA,NA,"Maize"
"237",2012-12-17,"23","Husk","4","Dryland","Low N",0,NA,NA,"Maize"
"238",2012-12-17,"23","Leaf","4","Dryland","Low N",286,2.985,8.5371,"Maize"
"239",2012-12-17,"23","Rachis","4","Dryland","Low N",0,NA,NA,"Maize"
"240",2012-12-17,"23","Stem","4","Dryland","Low N",148,2.211,3.27228,"Maize"
"241",2012-12-17,"24","Senesced","4","Irrigated","High N",0,NA,NA,"Maize"
"242",2012-12-17,"24","Grain","4","Irrigated","High N",0,NA,NA,"Maize"
"243",2012-12-17,"24","Husk","4","Irrigated","High N",0,NA,NA,"Maize"
"244",2012-12-17,"24","Leaf","4","Irrigated","High N",462,3.646,16.84452,"Maize"
"245",2012-12-17,"24","Rachis","4","Irrigated","High N",0,NA,NA,"Maize"
"246",2012-12-17,"24","Stem","4","Irrigated","High N",260,3.031,7.8806,"Maize"
"247",2012-12-17,"3","Senesced","1","Dryland","High N",0,NA,NA,"Maize"
"248",2012-12-17,"3","Grain","1","Dryland","High N",0,NA,NA,"Maize"
"249",2012-12-17,"3","Husk","1","Dryland","High N",0,NA,NA,"Maize"
"250",2012-12-17,"3","Leaf","1","Dryland","High N",370,3.215,11.8955,"Maize"
"251",2012-12-17,"3","Rachis","1","Dryland","High N",0,NA,NA,"Maize"
"252",2012-12-17,"3","Stem","1","Dryland","High N",208,2.237,4.65296,"Maize"
"253",2012-12-17,"4","Senesced","1","Dryland","Low N",0,NA,NA,"Maize"
"254",2012-12-17,"4","Grain","1","Dryland","Low N",0,NA,NA,"Maize"
"255",2012-12-17,"4","Husk","1","Dryland","Low N",0,NA,NA,"Maize"
"256",2012-12-17,"4","Leaf","1","Dryland","Low N",368,3.04,11.1872,"Maize"
"257",2012-12-17,"4","Rachis","1","Dryland","Low N",0,NA,NA,"Maize"
"258",2012-12-17,"4","Stem","1","Dryland","Low N",194,2.225,4.3165,"Maize"
"259",2012-12-17,"5","Senesced","1","Irrigated","High N",0,NA,NA,"Maize"
"260",2012-12-17,"5","Grain","1","Irrigated","High N",0,NA,NA,"Maize"
"261",2012-12-17,"5","Husk","1","Irrigated","High N",0,NA,NA,"Maize"
"262",2012-12-17,"5","Leaf","1","Irrigated","High N",406,3.014,12.23684,"Maize"
"263",2012-12-17,"5","Rachis","1","Irrigated","High N",0,NA,NA,"Maize"
"264",2012-12-17,"5","Stem","1","Irrigated","High N",204,2.232,4.55328,"Maize"
"265",2012-12-17,"6","Senesced","1","Dryland","Median N",0,NA,NA,"Maize"
"266",2012-12-17,"6","Grain","1","Dryland","Median N",0,NA,NA,"Maize"
"267",2012-12-17,"6","Husk","1","Dryland","Median N",0,NA,NA,"Maize"
"268",2012-12-17,"6","Leaf","1","Dryland","Median N",384,3.088,11.85792,"Maize"
"269",2012-12-17,"6","Rachis","1","Dryland","Median N",0,NA,NA,"Maize"
"270",2012-12-17,"6","Stem","1","Dryland","Median N",204,2.298,4.68792,"Maize"
"271",2012-12-17,"7","Senesced","2","Irrigated","Low N",0,NA,NA,"Maize"
"272",2012-12-17,"7","Grain","2","Irrigated","Low N",0,NA,NA,"Maize"
"273",2012-12-17,"7","Husk","2","Irrigated","Low N",0,NA,NA,"Maize"
"274",2012-12-17,"7","Leaf","2","Irrigated","Low N",314,3.086,9.69004,"Maize"
"275",2012-12-17,"7","Rachis","2","Irrigated","Low N",0,NA,NA,"Maize"
"276",2012-12-17,"7","Stem","2","Irrigated","Low N",214,2.258,4.83212,"Maize"
"277",2012-12-17,"8","Senesced","2","Dryland","Median N",0,NA,NA,"Maize"
"278",2012-12-17,"8","Grain","2","Dryland","Median N",0,NA,NA,"Maize"
"279",2012-12-17,"8","Husk","2","Dryland","Median N",0,NA,NA,"Maize"
"280",2012-12-17,"8","Leaf","2","Dryland","Median N",354,2.897,10.25538,"Maize"
"281",2012-12-17,"8","Rachis","2","Dryland","Median N",0,NA,NA,"Maize"
"282",2012-12-17,"8","Stem","2","Dryland","Median N",272,1.996,5.42912,"Maize"
"283",2012-12-17,"9","Senesced","2","Dryland","High N",0,NA,NA,"Maize"
"284",2012-12-17,"9","Grain","2","Dryland","High N",0,NA,NA,"Maize"
"285",2012-12-17,"9","Husk","2","Dryland","High N",0,NA,NA,"Maize"
"286",2012-12-17,"9","Leaf","2","Dryland","High N",442,3.22,14.2324,"Maize"
"287",2012-12-17,"9","Rachis","2","Dryland","High N",0,NA,NA,"Maize"
"288",2012-12-17,"9","Stem","2","Dryland","High N",266,2.325,6.1845,"Maize"
"289",2013-01-28,"1","Senesced","1","Irrigated","Median N",120,3.611,4.3332,"Maize"
"290",2013-01-28,"1","Grain","1","Irrigated","Median N",0,NA,NA,"Maize"
"291",2013-01-28,"1","Husk","1","Irrigated","Median N",0,NA,NA,"Maize"
"292",2013-01-28,"1","Leaf","1","Irrigated","Median N",2896,1.829,52.96784,"Maize"
"293",2013-01-28,"1","Rachis","1","Irrigated","Median N",0,NA,NA,"Maize"
"294",2013-01-28,"1","Stem","1","Irrigated","Median N",8832,0.654,57.76128,"Maize"
"295",2013-01-28,"10","Senesced","2","Irrigated","Median N",172,0.51,0.8772,"Maize"
"296",2013-01-28,"10","Grain","2","Irrigated","Median N",0,NA,NA,"Maize"
"297",2013-01-28,"10","Husk","2","Irrigated","Median N",0,NA,NA,"Maize"
"298",2013-01-28,"10","Leaf","2","Irrigated","Median N",2504,1.511,37.83544,"Maize"
"299",2013-01-28,"10","Rachis","2","Irrigated","Median N",0,NA,NA,"Maize"
"300",2013-01-28,"10","Stem","2","Irrigated","Median N",7208,0.572,41.22976,"Maize"
"301",2013-01-28,"11","Senesced","2","Dryland","Low N",520,0.501,2.6052,"Maize"
"302",2013-01-28,"11","Grain","2","Dryland","Low N",0,NA,NA,"Maize"
"303",2013-01-28,"11","Husk","2","Dryland","Low N",0,NA,NA,"Maize"
"304",2013-01-28,"11","Leaf","2","Dryland","Low N",1312,1.01,13.2512,"Maize"
"305",2013-01-28,"11","Rachis","2","Dryland","Low N",0,NA,NA,"Maize"
"306",2013-01-28,"11","Stem","2","Dryland","Low N",3384,0.566,19.15344,"Maize"
"307",2013-01-28,"12","Senesced","2","Irrigated","High N",88,0.8,0.704,"Maize"
"308",2013-01-28,"12","Grain","2","Irrigated","High N",0,NA,NA,"Maize"
"309",2013-01-28,"12","Husk","2","Irrigated","High N",0,NA,NA,"Maize"
"310",2013-01-28,"12","Leaf","2","Irrigated","High N",2840,2.025,57.51,"Maize"
"311",2013-01-28,"12","Rachis","2","Irrigated","High N",0,NA,NA,"Maize"
"312",2013-01-28,"12","Stem","2","Irrigated","High N",9104,0.615,55.9896,"Maize"
"313",2013-01-28,"13","Senesced","3","Dryland","Low N",468,0.47,2.1996,"Maize"
"314",2013-01-28,"13","Grain","3","Dryland","Low N",0,NA,NA,"Maize"
"315",2013-01-28,"13","Husk","3","Dryland","Low N",0,NA,NA,"Maize"
"316",2013-01-28,"13","Leaf","3","Dryland","Low N",1240,0.977,12.1148,"Maize"
"317",2013-01-28,"13","Rachis","3","Dryland","Low N",0,NA,NA,"Maize"
"318",2013-01-28,"13","Stem","3","Dryland","Low N",3656,0.597,21.82632,"Maize"
"319",2013-01-28,"14","Senesced","3","Irrigated","Median N",148,0.515,0.7622,"Maize"
"320",2013-01-28,"14","Grain","3","Irrigated","Median N",0,NA,NA,"Maize"
